iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
PAN,North America,Panama,2021-11-02,472877.0,213.0,141.857,7315.0,0.0,0.143,107923.78,48.613,32.376,1669.488,0.0,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PNG,Oceania,Papua New Guinea,2021-11-02,30035.0,222.0,260.857,385.0,15.0,7.143,3293.671,24.345,28.606,42.22,1.645,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,,,,
PRY,South America,Paraguay,2021-11-02,461132.0,46.0,45.286,16250.0,1.0,2.429,63871.874,6.372,6.273,2250.804,0.139,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,,,,
PER,South America,Peru,2021-11-02,2202189.0,0.0,733.857,200276.0,0.0,22.571,66014.017,0.0,21.999,6003.582,0.0,0.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,
PHL,Asia,Philippines,2021-11-02,2792656.0,2281.0,3854.857,43404.0,128.0,189.571,25148.435,20.541,34.714,390.862,1.153,1.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,,,,
POL,Europe,Poland,2021-11-02,3034668.0,4517.0,7503.571,77021.0,9.0,68.714,80288.594,119.507,198.523,2037.754,0.238,1.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,
PRT,Europe,Portugal,2021-11-02,1091592.0,450.0,758.857,18171.0,9.0,4.286,107356.438,44.257,74.632,1787.091,0.885,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,,,,
QAT,Asia,Qatar,2021-11-02,239508.0,134.0,109.429,611.0,0.0,0.286,81728.728,45.726,37.341,208.495,0.0,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,,,,
ROU,Europe,Romania,2021-11-02,1666097.0,11073.0,11173.857,48664.0,591.0,451.571,87103.558,578.896,584.169,2544.154,30.897,23.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,,,,
RUS,Europe,Russia,2021-11-02,8455232.0,37927.0,38547.429,236462.0,1144.0,1125.857,57947.466,259.931,264.183,1620.579,7.84,7.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
